,SC-0-px,SC-0-py,SC-0-pz,SC-0-vx,SC-0-vy,SC-0-vz,SC-1-px,SC-1-py,SC-1-pz,SC-1-vx,SC-1-vy,SC-1-vz,SC-2-px,SC-2-py,SC-2-pz,SC-2-vx,SC-2-vy,SC-2-vz,SC-3-px,SC-3-py,SC-3-pz,SC-3-vx,SC-3-vy,SC-3-vz,SC-4-px,SC-4-py,SC-4-pz,SC-4-vx,SC-4-vy,SC-4-vz,SC-5-px,SC-5-py,SC-5-pz,SC-5-vx,SC-5-vy,SC-5-vz,SC-6-px,SC-6-py,SC-6-pz,SC-6-vx,SC-6-vy,SC-6-vz,SC-7-px,SC-7-py,SC-7-pz,SC-7-vx,SC-7-vy,SC-7-vz,SC-8-px,SC-8-py,SC-8-pz,SC-8-vx,SC-8-vy,SC-8-vz,SC-9-px,SC-9-py,SC-9-pz,SC-9-vx,SC-9-vy,SC-9-vz
715.0,-2183.0570000000002,596.5687,452.1992,-8.316068,4.761668,-0.15193310000000002,-2277.132,1680.4360000000001,663.1459,-7.428414999999999,4.9691220000000005,0.35436540000000005,-3168.9429999999998,3070.85,-396.4969,-7.2586509999999995,6.941952000000001,-0.7403706999999999,-3024.546,1909.692,-29.6957,-8.817271,6.622053999999999,-0.07231509,-3163.9559999999997,2754.312,118.3847,-7.543251,6.931139999999999,-0.415761,-3167.386,1814.9160000000002,36.23234,-6.831666,6.942259,-0.02858959,-2553.345,1925.6170000000002,-194.1025,-7.227461999999999,5.580816,0.42875690000000005,-3407.328,1896.5320000000002,574.3993,-6.8881630000000005,7.473596000000001,-0.10341159999999999,-3350.51,3121.6240000000003,538.9181,-7.537875,7.343661,0.04268953,-2422.7110000000002,163.9961,60.6833,-7.569131,5.295089,1.0767879999999999
716.0,-2191.3779999999997,601.3411,452.0469,-8.32542,4.779968,-0.15256760000000003,-2284.565,1685.415,663.4999,-7.437652000000001,4.985457,0.3534718,-3176.205,3077.804,-397.2374,-7.266800999999999,6.957909,-0.7399616999999999,-3033.368,1916.3270000000002,-29.76806,-8.825599,6.641463000000001,-0.07235699,-3171.5029999999997,2761.255,117.9686,-7.551407000000001,6.947727,-0.4159852,-3174.222,1821.869,36.20367,-6.839813,6.957271,-0.02871256,-2560.577,1931.2079999999999,-193.6735,-7.236362,5.596706,0.4289174,-3414.22,1904.017,574.2955,-6.896017,7.488732000000001,-0.10419669999999999,-3358.052,3128.9790000000003,538.9605,-7.5458039999999995,7.3602360000000004,0.0419482,-2430.285,169.3014,61.76039,-7.578186,5.311735,1.0766360000000001
717.0,-2199.708,606.1317,451.8939,-8.334762,4.79829,-0.1532017,-2292.007,1690.41,663.8531,-7.446880999999999,5.001812999999999,0.35257790000000006,-3183.4759999999997,3084.7729999999997,-397.9775,-7.274942,6.973885000000001,-0.7395515,-3042.198,1922.981,-29.84047,-8.833917,6.660891,-0.07239861,-3179.059,2768.2140000000004,117.5524,-7.5595550000000005,6.964333,-0.41620870000000004,-3181.066,1828.8370000000002,36.174890000000005,-6.847950999999999,6.972301,-0.02883531,-2567.817,1936.815,-193.2443,-7.245253,5.612615,0.4290776,-3421.12,1911.517,574.1908,-6.903861999999999,7.503887,-0.1049815,-3365.6009999999997,3136.3509999999997,539.0021,-7.553724000000001,7.37683,0.04120701,-2437.867,174.6233,62.83733,-7.587231,5.328401,1.076482
718.0,-2208.047,610.9408,451.7404,-8.344094,4.816632,-0.1538354,-2299.459,1695.422,664.2053,-7.4561,5.018189,0.3516838,-3190.755,3091.758,-398.7172,-7.283075,6.989878999999999,-0.7391403,-3051.0359999999996,1929.654,-29.91293,-8.842224,6.680338000000001,-0.07243995,-3186.6220000000003,2775.19,117.1358,-7.567692999999999,6.980958,-0.41643149999999995,-3187.9179999999997,1835.82,36.14598,-6.856082000000001,6.987349000000001,-0.02895783,-2575.067,1942.4370000000001,-192.815,-7.254135000000001,5.628545,0.4292375,-3428.028,1919.0320000000002,574.0854,-6.9116990000000005,7.519058,-0.10576589999999998,-3373.159,3143.74,539.0429,-7.561635000000001,7.393441,0.04046595,-2445.459,179.962,63.91412,-7.596267,5.345088,1.076327
719.0,-2216.396,615.7681,451.5862,-8.353416000000001,4.834994999999999,-0.15446870000000001,-2306.919,1700.45,664.5567,-7.465310000000001,5.034586,0.3507895,-3198.042,3098.759,-399.4565,-7.291199000000001,7.005891,-0.7387279,-3059.882,1936.3470000000002,-29.98542,-8.85052,6.699803,-0.07248102,-3194.1940000000004,2782.183,116.7191,-7.575821,6.9976,-0.4166536,-3194.778,1842.818,36.11695,-6.864203,7.002416,-0.02908013,-2582.326,1948.076,-192.3855,-7.263008999999999,5.644494,0.42939700000000003,-3434.9429999999998,1926.5620000000001,573.9792,-6.919527,7.534248,-0.1065501,-3380.725,3151.1459999999997,539.0831,-7.569536,7.410069999999999,0.03972504,-2453.06,185.3173,64.99075,-7.605294000000001,5.361795,1.076171
720.0,-2224.754,620.6139,451.4313,-8.362727,4.853379,-0.1551017,-2314.389,1705.495,664.9071,-7.474512,5.051004,0.3498949,-3205.3379999999997,3105.776,-400.1953,-7.299314,7.021922,-0.7383145000000001,-3068.737,1943.06,-30.05795,-8.858806,6.719287,-0.0725218,-3201.7740000000003,2789.192,116.3021,-7.583941,7.014261,-0.416875,-3201.6459999999997,1849.832,36.087790000000005,-6.872317,7.017500999999999,-0.0292022,-2589.593,1953.731,-191.9559,-7.271872999999999,5.660463,0.4295562,-3441.867,1934.108,573.8722,-6.927347,7.549453999999999,-0.1073339,-3388.298,3158.5679999999998,539.1224,-7.5774289999999995,7.426716000000001,0.03898426,-2460.67,190.6894,66.06723000000001,-7.614312,5.378522,1.076014
721.0,-2233.1220000000003,625.4781,451.2759,-8.372029,4.871784,-0.15573420000000002,-2321.868,1710.556,665.2567,-7.4837039999999995,5.067442,0.3490001,-3212.6409999999996,3112.809,-400.9338,-7.30742,7.03797,-0.7378998999999999,-3077.6,1949.7920000000001,-30.13053,-8.86708,6.738789,-0.0725623,-3209.362,2796.218,115.885,-7.592051,7.030939999999999,-0.4170956,-3208.5229999999997,1856.86,36.05851,-6.880422,7.032603999999999,-0.02932403,-2596.869,1959.401,-191.5261,-7.280728999999999,5.676451999999999,0.42971509999999996,-3448.798,1941.6689999999999,573.7644,-6.935159,7.564678999999999,-0.1081174,-3395.88,3166.006,539.1611,-7.585311999999999,7.443381,0.03824363,-2468.288,196.0782,67.14355,-7.623321000000001,5.39527,1.075856
722.0,-2241.498,630.3607,451.1198,-8.38132,4.89021,-0.1563664,-2329.357,1715.6329999999998,665.6054,-7.492887,5.0839,0.348105,-3219.952,3119.8590000000004,-401.6718,-7.315517,7.054036999999999,-0.7374841999999999,-3086.4709999999995,1956.5439999999999,-30.20314,-8.875344,6.758310000000001,-0.07260251,-3216.958,2803.26,115.4676,-7.600153,7.047637,-0.4173156,-3215.407,1863.9029999999998,36.02912,-6.8885190000000005,7.047725,-0.02944564,-2604.155,1965.088,-191.0961,-7.289575999999999,5.692461,0.42987359999999997,-3455.737,1949.245,573.6558,-6.942962,7.579921000000001,-0.10890050000000001,-3403.469,3173.462,539.199,-7.593186,7.460063000000001,0.03750314,-2475.916,201.4838,68.21972,-7.63232,5.412037000000001,1.075697
723.0,-2249.884,635.2617,450.963,-8.390601,4.908656,-0.15699820000000003,-2336.854,1720.727,665.9531,-7.502061,5.10038,0.3472098,-3227.272,3126.9240000000004,-402.4094,-7.323605000000001,7.0701220000000005,-0.7370675,-3095.35,1963.315,-30.2758,-8.883598,6.777849000000001,-0.07264245,-3224.562,2810.32,115.0499,-7.608245,7.064352,-0.41753490000000004,-3222.3,1870.9620000000002,35.999590000000005,-6.896607,7.062864,-0.02956702,-2611.449,1970.79,-190.666,-7.298414,5.708489,0.4300318,-3462.684,1956.836,573.5465,-6.950757,7.59518,-0.10968339999999999,-3411.066,3180.934,539.2361,-7.601050999999999,7.476762,0.03676279,-2483.553,206.9062,69.29571999999999,-7.641310000000001,5.428825,1.075536
724.0,-2258.279,640.1812,450.8057,-8.399872,4.927123,-0.1576297,-2344.361,1725.8370000000002,666.3,-7.511226,5.116879,0.3463142,-3234.6,3134.006,-403.1466,-7.331685,7.086225,-0.7366496,-3104.238,1970.105,-30.34849,-8.89184,6.797407000000001,-0.07268209,-3232.1740000000004,2817.3959999999997,114.6321,-7.616327,7.081085000000001,-0.41775340000000005,-3229.2,1878.036,35.96995,-6.904688,7.078021000000001,-0.02968817,-2618.751,1976.509,-190.2357,-7.307243,5.724537000000001,0.4301897,-3469.638,1964.443,573.4364,-6.958543,7.610457000000001,-0.11046589999999999,-3418.671,3188.423,539.2725,-7.608906,7.493479,0.0360226,-2491.199,212.3454,70.37156999999999,-7.650291,5.445633,1.075375
